Person;Nationality;Rate;Availability;Certification;Language
1;EU; $300,00 ; Q1 ;2;E
2;Non-EU; $700,00 ; Q2 ;1;F
3;EU; $830,00 ; Q2 ;3;G
4;EU; $760,00 ; Q3 ;3;F
5;EU; $840,00 ; Q4 ;4;G
6;EU; $1.200,00 ; Q1 ;5;E
7;Non-EU; $1.100,00 ; Q3 ;5;O
8;Non-EU; $930,00 ; Q4 ;5;O
9;Non-EU; $500,00 ; Q3 ;4;O
10;EU; $535,00 ; Q2 ;1;E
11;Non-EU; $600,00 ; Q1 ;2;O
12;Non-EU; $725,00 ; Q2 ;3;O
13;Non-EU; $600,00 ; Q3 ;3;O
14;EU; $620,00 ; Q1 ;4;G
15;EU; $300,00 ; Q3 ;5;G
16;EU; $700,00 ; Q4 ;5;F
17;EU; $830,00 ; Q4 ;5;E
18;EU; $760,00 ; Q4 ;4;E
19;Non-EU; $840,00 ; Q2 ;3;O
20;EU; $1.200,00 ; Q1 ;2;E
21;Non-EU; $1.100,00 ; Q2 ;3;O
22;EU; $930,00 ; Q3 ;3;E
23;EU; $500,00 ; Q3 ;3;E
24;EU; $535,00 ; Q2 ;5;F
25;EU; $840,00 ; Q3 ;4;G
26;Non-EU; $1.200,00 ; Q1 ;5;O
27;Non-EU; $1.100,00 ; Q3 ;2;O
28;EU; $930,00 ; Q4 ;5;E
29;Non-EU; $500,00 ; Q2 ;5;O
30;Non-EU; $535,00 ; Q4 ;5;O
31;EU; $600,00 ; Q1 ;4;G
32;EU; $725,00 ; Q2 ;1;G
33;EU; $600,00 ; Q3 ;2;O
34;Non-EU; $620,00 ; Q1 ;2;O
35;EU; $300,00 ; Q1 ;2;O
36;EU; $700,00 ; Q1 ;3;G
37;EU; $830,00 ; Q1 ;3;G
38;EU; $760,00 ; Q2 ;4;F
39;EU; $840,00 ; Q3 ;5;E
40;Non-EU; $1.200,00 ; Q2 ;5;E
41;EU; $600,00 ; Q4 ;5;O
42;EU; $620,00 ; Q4 ;4;E
43;Non-EU; $300,00 ; Q4 ;3;O
44;Non-EU; $700,00 ; Q4 ;2;O
45;Non-EU; $830,00 ; Q2 ;3;O
46;EU; $760,00 ; Q1 ;3;O
47;EU; $840,00 ; Q2 ;3;O
48;EU; $120,00 ; Q3 ;4;G
49;EU; $1.100,00 ; Q1 ;2;G
50;EU; $930,00 ; Q3 ;3;O
51;Non-EU; $500,00 ; Q4 ;4;G
52;EU; $535,00 ; Q3 ;2;O
53;Non-EU; $288,00 ; Q2 ;2;O
54;EU; $330,00 ; Q1 ;5;G
55;EU; $410,00 ; Q2 ;4;F
56;EU; $400,00 ; Q3 ;2;E
57;EU; $300,00 ; Q1 ;3;E
58;Non-EU; $400,00 ; Q3 ;4;O
59;Non-EU; $510,00 ; Q4 ;5;O
60;EU; $520,00 ; Q4 ;1;G
;;;;;
;;;;;
;;;;;
;;;;;
